R,G,B
0,0,139
0,0,146
0,0,153
0,0,160
0,0,167
0,0,174
0,0,181
0,0,188
0,0,195
0,0,202
0,0,209
0,0,216
0,0,223
0,0,230
0,0,237
0,0,244
0,0,251
4,7,252
13,22,245
22,36,238
31,50,231
39,65,225
48,79,218
57,94,211
65,108,205
74,123,198
83,137,191
92,151,184
100,166,178
109,180,171
118,195,164
127,209,157
135,224,151
144,238,144
151,239,135
157,240,127
164,241,118
171,242,109
178,243,100
184,244,92
191,245,83
198,246,74
205,247,65
211,248,57
218,249,48
225,250,39
231,251,31
238,252,22
245,253,13
252,254,4
255,252,0
255,247,0
255,241,0
255,236,0
255,230,0
255,225,0
255,220,0
255,214,0
255,209,0
255,203,0
255,198,0
255,192,0
255,187,0
255,181,0
255,176,0
255,170,0
255,165,0
255,159,0
255,153,0
255,148,0
255,142,0
255,136,0
255,130,0
255,124,0
255,118,0
255,113,0
255,107,0
255,101,0
255,95,0
255,89,0
255,84,0
255,78,0
255,72,0
251,67,0
244,63,0
237,59,0
230,54,0
223,50,0
216,46,0
209,42,0
202,38,0
195,33,0
188,29,0
181,25,0
174,21,0
167,17,0
160,13,0
153,8,0
146,4,0
139,0,0
