R,G,B
0,255,255
0,252,254
0,250,253
0,247,251
0,245,250
0,242,249
0,240,248
0,237,247
0,234,246
0,232,244
0,229,243
0,227,242
0,224,241
0,222,240
0,219,239
0,216,237
0,214,236
0,211,235
0,209,234
0,206,233
0,203,232
0,201,230
0,198,229
0,196,228
0,193,227
0,191,226
0,188,225
0,185,223
0,183,222
0,180,221
0,178,220
0,175,219
0,173,218
0,170,216
0,167,215
0,165,214
0,162,213
0,160,212
0,157,210
0,155,209
0,152,208
0,149,207
0,147,206
0,144,205
0,142,203
0,139,202
0,137,201
0,134,200
0,131,199
0,129,198
0,126,196
0,124,195
0,121,194
0,118,193
0,116,192
0,113,191
0,111,189
0,108,188
0,106,187
0,103,186
0,100,185
0,98,184
0,95,182
0,93,181
0,90,180
0,88,179
0,85,178
0,82,176
0,80,175
0,77,174
0,75,173
0,72,172
0,70,171
0,67,169
0,64,168
0,62,167
0,59,166
0,57,165
0,54,164
0,52,162
0,49,161
0,46,160
0,44,159
0,41,158
0,39,157
0,36,155
0,33,154
0,31,153
0,28,152
0,26,151
0,23,150
0,21,148
0,18,147
0,15,146
0,13,145
0,10,144
0,8,143
0,5,141
0,3,140
0,0,139
