R,G,B
250,209,88
246,201,79
241,193,69
237,185,60
233,177,50
228,170,41
224,162,31
220,154,22
215,146,12
211,138,3
207,135,3
203,133,3
199,130,3
195,128,3
191,125,2
188,123,2
184,120,2
180,118,2
176,115,2
172,113,2
166,109,2
160,105,2
154,101,2
148,97,2
142,93,2
135,88,2
129,84,2
123,80,2
117,76,2
111,72,2
109,71,2
107,69,2
105,68,2
103,67,2
101,66,2
99,64,2
97,63,2
95,62,2
93,61,2
91,59,1
89,58,1
87,57,1
85,56,1
83,55,1
81,53,1
79,52,1
77,51,1
75,50,1
73,48,1
71,47,1
70,46,1
70,46,1
69,45,1
68,45,1
67,44,1
67,44,1
66,43,1
65,43,1
64,42,1
64,42,1
63,42,1
62,41,1
61,41,1
61,40,1
60,40,1
59,39,1
58,39,1
58,38,1
57,38,1
56,37,1
55,36,1
55,36,1
54,35,1
53,35,1
52,34,0
52,34,0
51,33,0
50,33,0
50,32,0
49,32,0
48,32,0
47,31,0
47,31,0
46,30,0
45,30,0
44,29,0
44,29,0
43,28,0
42,28,0
41,27,0
41,26,0
40,26,0
39,25,0
38,25,0
38,24,0
37,24,0
36,23,0
35,23,0
35,22,0
34,22,0
