R,G,B
128,255,255
211,138,3
172,113,2
164,108,2
156,103,2
149,97,2
141,92,2
133,87,2
126,82,2
118,77,2
111,72,2
107,69,2
103,67,2
98,64,2
94,62,2
90,59,1
86,57,1
82,54,1
78,52,1
74,49,1
71,47,1
70,47,1
70,46,1
70,46,1
69,46,1
69,45,1
68,45,1
68,45,1
67,44,1
67,44,1
66,44,1
66,43,1
65,43,1
65,43,1
64,43,1
64,42,1
63,42,1
63,42,1
62,41,1
62,41,1
62,41,1
61,40,1
61,40,1
60,40,1
60,39,1
59,39,1
59,39,1
58,38,1
58,38,1
57,38,1
57,37,1
56,37,1
56,37,1
55,37,1
55,36,1
55,36,1
54,36,1
54,35,1
53,35,1
53,35,1
52,34,0
52,34,0
51,34,0
51,33,0
50,33,0
50,33,0
49,32,0
49,32,0
48,32,0
48,31,0
48,31,0
47,31,0
47,31,0
46,30,0
46,30,0
45,30,0
45,29,0
44,29,0
44,29,0
43,28,0
43,28,0
42,28,0
42,27,0
41,27,0
41,27,0
41,26,0
40,26,0
40,26,0
39,25,0
39,25,0
38,25,0
38,25,0
37,24,0
37,24,0
36,24,0
36,23,0
35,23,0
35,23,0
34,22,0
34,22,0
