R,G,B
102,205,170
113,209,158
124,212,146
134,216,134
145,219,122
156,223,110
167,226,98
178,230,86
189,233,74
199,237,62
210,240,50
221,244,38
211,239,35
201,233,31
192,228,28
182,222,24
172,217,21
162,211,17
152,206,14
142,200,10
133,195,7
123,189,3
113,184,0
110,180,0
108,176,0
105,172,0
103,168,0
100,164,0
98,160,0
95,156,0
93,152,0
90,148,0
88,144,0
85,140,0
99,141,0
114,141,0
128,142,0
142,143,0
156,143,0
171,144,0
185,144,0
199,145,0
213,146,0
228,146,0
242,147,0
234,135,0
226,124,0
217,112,0
209,100,0
201,88,0
193,77,0
185,65,0
177,53,0
168,41,0
160,30,0
152,18,0
152,19,3
153,20,5
153,21,8
153,22,10
154,23,13
154,23,15
155,24,18
155,25,20
155,26,23
156,27,25
156,28,28
155,33,33
155,37,37
154,42,42
153,47,47
153,52,52
152,56,56
152,61,61
151,66,66
150,71,71
150,75,75
149,80,80
150,87,87
150,94,94
151,100,100
152,107,107
152,114,114
153,121,121
153,128,128
154,135,135
155,141,141
155,148,148
156,155,155
165,164,164
174,172,172
183,181,181
192,190,190
201,198,198
210,207,207
219,215,215
228,224,224
237,233,233
246,241,241
255,250,250
